Uporabnisko ime,Handle,Cas,Body,Retweet,Reply,Likes
Elon Musk,@elonmusk,2023-03-02 02:57:31,"Twice as many people died in Japan last year as were born. Population freefall.

Rest of the world is trending to follow. amp.cnn.com
Japan births fall to record low as population crisis deepens
The number of births registered in Japan plummeted to another record low last year -- the latest worrying statistic in a decades-long decline that the country's authorities have failed to reverse...",31K,17.7K,141.1K
Elon Musk,@elonmusk,2023-02-25 19:37:12,"Replying to 
@elonmusk But which is actually harder, defeating inflation or defeating the British … ?","1,961","3,976",25.4K
SpaceX,@SpaceX,2023-02-17 22:55:13,Falcon 9 launches 51 Starlink satellites to orbit ,"3,432",918,34.1K
Tesla Megapack,@Tesla_Megapack,2023-02-17 20:43:14,"Whether it's sunny or snowing, Megapack continues to power Alaska's Kenai Peninsula ","2,583",701,18.3K
Elon Musk,@elonmusk,2023-02-12 19:01:54,"More work team completed over night:

- Removed height penalty affecting tweets with pics/video
- increased # of recommended tweets
- Better tracking of dropped tweets
- Removed filter causing false negatives 
- Removed penalty if user follows author
- Improved reach of retweet 2,259
3,194
31K
10.7M","3,194","2,259",31K
Elon Musk,@elonmusk,2023-02-12 18:34:07,"Don’t worry, just some of my   friends of mine stopping by … 34.9K
62.6K
714.4K
106.9M",62.6K,34.9K,714.4K
Elon Musk,@elonmusk,2023-02-12 06:46:55,"[Oversized font & undersized paragraph spacing will be fixed this week] 1,653
2,465
38.7K
15.7M","2,465","1,653",38.7K
Elon Musk,@elonmusk,2023-02-12 06:45:14,"Long day at Twitter HQ with eng team

Two significant problems mostly addressed:

1. Fanout service for Following feed was getting overloaded when I tweeted, resulting in up to 95% of my tweets not getting delivered at all. Following is now pulling from search (aka Earlybird).… 10K
12.3K
123.8K
48.9M",12.3K,10K,123.8K
Elon Musk,@elonmusk,2023-02-08 01:03:17,". 48.2K
32.9K
371.5K
69.3M",32.9K,48.2K,371.5K
SpaceX,@SpaceX,2023-02-08 00:40:13,"A SpaceX Starlink está agora disponível em todo o Brasil, permitindo que os clientes solicitem o serviço em todo o país → http://starlink.com/map ","2,587","1,059",17K
Elon Musk,@elonmusk,2023-02-07 17:41:38,"Going forward, Twitter will be broadly accepting of different values, rather than trying to impose its own specific values on the world 34.1K
47.2K
423.7K
34.1M",47.2K,34.1K,423.7K
Elon Musk,@elonmusk,2023-02-07 05:25:48,"I feel this one Will Durant
@DurantQuotesBot
·
Feb 6
Automated
The older the civilization, the longer the lawsuits.","4,134","4,834",49.7K
Elon Musk,@elonmusk,2023-02-07 04:26:34,"Actual base level of Maslow’s hierarchy is lack of wifi 6,110
11.5K
113.7K
16.1M",11.5K,"6,110",113.7K
SpaceX,@SpaceX,2023-02-07 02:09:32,"Deployment of 
@Hispasat
’s Amazonas Nexus confirmed ","3,049",739,20.5K
Elon Musk,@elonmusk,2023-02-07 01:44:10,"rtfm SpaceX
@SpaceX
·
Feb 7
Falcon 9’s first stage has landed on the Just Read the Instructions droneship","2,792","1,858",27.8K
SpaceX,@SpaceX,2023-02-07 01:32:55,"Liftoff! 0:23
570.6K views","3,782",808,25.3K
Elon Musk,@elonmusk,2023-02-07 00:44:37,It’s not supposed to be real ,"6,951","5,239",63.4K
Elon Musk,@elonmusk,2023-01-28 19:38:23,"Another major improvement in timeline refresh speed just released – now 10X faster than a few months ago 10.2K
11.9K
146.1K
14.9M",11.9K,10.2K,146.1K
Elon Musk,@elonmusk,2023-01-28 01:29:13,"I work all day, then go home & play work simulator 25.2K
24.1K
369.7K
35.8M",24.1K,25.2K,369.7K
Elon Musk,@elonmusk,2023-01-20 20:20:17,"Twitter app update now available on App Store 7,899
11.4K
136.3K
18.4M",11.4K,"7,899",136.3K
Shibetoshi Nakamoto,@BillyM2k,2023-01-20 20:01:16,"Replying to 
@elonmusk oh that’s actually pretty cool!","1,489",543,13K
Elon Musk,@elonmusk,2023-01-20 19:55:41,"Use pinned Lists to improve your Twitter experience!

1. Tap Lists on your profile page.
2. Create list of accounts to follow.
3. Tap pin icon. 

This allows you to swipe left/right between For You, Following and Lists. 11.6K
11.2K
66.1K
12.2M",11.2K,11.6K,66.1K
Community Notes,@CommunityNotes,2023-01-20 18:36:39,"We are now admitting contributors from the UK , Ireland , Australia  and New Zealand  — welcome to Community Notes! Want to help? Sign up here: https://twitter.com/i/flow/join-birdwatch… 484
1,149
8,809
2.7M","1,149",484,"8,809"
Elon Musk,@elonmusk,2023-01-12 14:05:12,Starship launch attempt soon ,29.1K,14.1K,326.6K
Elon Musk,@elonmusk,2023-01-11 19:01:29,"Some things that your party tells you are false and some things that the other party says are true 30.9K
30.2K
312.8K
34M",30.2K,30.9K,312.8K
SpaceX,@SpaceX,2023-01-11 16:56:07,View from the recovery vessel as Dragon returned to Earth ,"4,884","1,334",41.5K
Elon Musk,@elonmusk,2022-12-31 10:00:01,"Unlike likes, bookmarks are private 2,942
4,498
82K
13.2M","4,498","2,942",82K
Elon Musk,@elonmusk,2022-12-31 09:02:21,"Easy to create folders to bookmark tweets into various categories 2,838
5,907
83.9K
15.3M","5,907","2,838",83.9K
Elon Musk,@elonmusk,2022-12-31 08:51:10,"Twitter has a bookmark function accessible through share button on tweet. 

To read bookmarks, tap profile icon.

This obscure UI will be fixed in Jan. 10.3K
15.9K
183K
34.9M",15.9K,10.3K,183K
Elon Musk,@elonmusk,2022-12-30 21:32:50,"If you don’t think there’s at least a tiny chance you’re an NPC … you’re an NPC 33.7K
35.1K
351.4K
55.9M",35.1K,33.7K,351.4K
Elon Musk,@elonmusk,2022-12-30 20:26:24,"New Twitter navigation coming in Jan that allows swiping to side to switch between recommended & followed tweets, trends, topics, etc.

Until then, tap stars icon on upper right of home screen to switch. 8,354
12.8K
129.4K
19.8M",12.8K,"8,354",129.4K
Matt Taibbi,@mtaibbi,2022-12-24 08:38:10,"Notes on a Friday Night: racket.news
Notes on a Friday Night
A few delirious reflections at a crazy month's end","4,642","1,427",24.7K
Elon Musk,@elonmusk,2022-12-23 21:08:26,"Twitter votes for the right haha Elon Musk
@elonmusk
·
Dec 23, 2022
Tweet impression count should
Show this poll",10.7K,12.7K,117.3K
Tesla,@Tesla,2022-12-23 17:50:28,"Giga Texas is alive  Billy
@billykyle
·
Dec 22, 2022
Another view of Giga Texas from the air  @Tesla","3,845","1,682",38.4K
Elon Musk,@elonmusk,2022-12-23 17:08:52,"So you’re saying you prefer the right? Heheh 14.6K
11.5K
213.2K
20M",11.5K,14.6K,213.2K
Elon Musk,@elonmusk,2022-12-23 09:00:12,"Tweet impression count should stay on left
45.7%
move to right
54.3%
2,580,574 votes
·
Final results",30.1K,37.1K,141.9K
Elon Musk,@elonmusk,2022-12-23 02:00:34,"Tweets are read ~100 times more than they are liked 34.8K
42.3K
559K
66.4M",42.3K,34.8K,559K
Elon Musk,@elonmusk,2022-12-22 18:37:21,"Congratulations Tesla Team!! Tesla
@Tesla
·
Dec 22, 2022
Model Y just broke the bestselling car record in Norway, held since 1969 by the Beetle! ",11.6K,"9,716",172.8K
Elon Musk,@elonmusk,2022-12-22 18:34:12,"Meant to say impressions 3,735
3,703
72.7K
12.2M","3,703","3,735",72.7K
Elon Musk,@elonmusk,2022-12-22 16:24:00,"Is this true, 
@SenatorSinema
 and 
@SenatorTester
? Mike Lee
@SenMikeLee
·
Dec 22, 2022
An amendment by Sens Sinema & Tester is designed to ensure a porous border. A wolf in sheep's clothing to  mislead the American people to believe Dems are doing something to secure our borders. It merely provides them cover to vote against my extension of Title 42 protections.
Show this thread
Readers added context they thought people might want to know
Sen. Lee's Title 42 amendment wanted a simple majority but Democrats insisted it require 60 votes, so Tester + Sinema proposed a 60 vote amendment instead to meet that demand. It blocks funds that would've ended Title 42 + includes $8.7bil for ""border security & migrant care.""

rollcall.com/2022/12/22/dea…
Do you find this helpful?
Rate it",14.2K,"5,350",67.8K
Elon Musk,@elonmusk,2022-12-22 16:05:54,"Twitter is rolling out View Count, so you can see how many times a tweet has been seen! This is normal for video.

Shows how much more alive Twitter is than it may seem, as over 90% of Twitter users read, but don’t tweet, reply or like, as those are public actions. 23.6K
50K
398.7K
56.7M",50K,23.6K,398.7K
Elon Musk,@elonmusk,2022-12-22 01:32:28,"One of many product improvements coming to financial Twitter! 

Nice work by Twitter team. Twitter Business
@TwitterBusiness
·
Dec 21, 2022
$Cashtags, now with data 

 $SPY 
Show this thread",11K,"8,459",122.9K
Elon Musk,@elonmusk,2022-12-18 03:59:10,"True creation eventually becomes independent of its creator. Evolution takes the original product far from its origin, with an uncertain outcome.
– Dune, The Machine Crusade 14.7K
16.4K
151.5K
22.9M",16.4K,14.7K,151.5K
Elon Musk,@elonmusk,2022-12-17 21:58:21,"Congrats to SpaceX Team on 3 perfect orbital launches within 36 hours!!! 9,844
19.7K
312.5K
24.9M",19.7K,"9,844",312.5K
Elon Musk,@elonmusk,2022-12-17 21:40:51,"Live launch video SpaceX
@SpaceX
·
Dec 17, 2022
Watch Falcon 9 launch 54 Starlink satellites → http://spacex.com/launches/mission/?missionId=sl4-37… https://twitter.com/i/broadcasts/1mrxmklRBYnGy…","6,375","3,449",67.4K
Elon Musk,@elonmusk,2022-12-14 04:20:23,"Even works with keyboard & mouse 5,013
3,530
79.6K","3,530","5,013",79.6K
Elon Musk,@elonmusk,2022-12-14 04:19:49,"You can play Cyberpunk, Elden Ring and 1000s of other games in your *car* with an epic sound system!! Tesla
@Tesla
·
Dec 13, 2022
Steam is here—bringing thousands of games to new Model S & X vehicles 
Show this thread",20.7K,15.2K,216K
Elon Musk,@elonmusk,2022-12-13 23:21:58,"At risk of stating obvious, beware of debt in turbulent macroeconomic conditions, especially when Fed keeps raising rates 16.4K
28.8K
261K",28.8K,16.4K,261K
Elon Musk,@elonmusk,2022-12-13 23:13:27," Congrats Argentina!!  FIFA World Cup
Argentina vs Croatia",15.6K,"5,304",170.8K
Tesla,@Tesla,2022-12-13 22:16:29,Track Mode coming to Model Y Performance ,"3,800","1,783",37.6K
Tesla,@Tesla,2022-12-13 22:11:51,"Holiday Update rolling out now  2,033
3,666
43.1K","3,666","2,033",43.1K
Elon Musk,@elonmusk,2022-12-13 07:54:49,"The ratio of digital to biological compute is growing exponentially 13.1K
13K
176K",13K,13.1K,176K
Elon Musk,@elonmusk,2022-12-13 01:15:20,"Follow  41.3K
44K
428K",44K,41.3K,428K
Tesla,@Tesla,2022-12-12 15:02:38,"Semi's cabin is significantly bigger than that of traditional heavy trucks, with lots of storage and easy access ","2,710","1,736",28K
Tesla,@Tesla,2022-12-09 18:43:54,"40 Megapack units balance the grid in Lessines, Belgium—making it the biggest operational energy storage system in continental Europe ","3,421","2,134",31K
Elon Musk,@elonmusk,2022-12-09 08:00:28,"These are obvious account deletions with no tweets & no log in for years 7,969
12.6K
178.3K",12.6K,"7,969",178.3K
Elon Musk,@elonmusk,2022-12-09 07:58:55,"Twitter will soon start freeing the name space of 1.5 billion accounts 16.3K
41K
395.9K",41K,16.3K,395.9K
Elon Musk,@elonmusk,2022-12-09 05:13:42,Congrats on Game of Year! ,15.9K,"4,180",228.2K
Elon Musk,@elonmusk,2022-12-09 04:24:22,"Truth brings reconciliation 23.4K
41.3K
358.3K",41.3K,23.4K,358.3K
Elon Musk,@elonmusk,2022-12-09 02:32:43,"Twitter is working on a software update that will show your true account status, so you know clearly if you’ve been shadowbanned, the reason why and how to appeal 25.6K
72.1K
514.6K",72.1K,25.6K,514.6K
Elon Musk,@elonmusk,2022-12-09 01:05:14,"The Twitter Files, Part Deux!!  Bari Weiss
@bariweiss
·
Dec 9, 2022
THREAD: THE TWITTER FILES PART TWO. 

TWITTER’S SECRET BLACKLISTS.
Show this thread",42.7K,12.9K,211.7K
SpaceX,@SpaceX,2022-12-08 22:38:13,Falcon 9's first stage has landed ,"6,431","2,214",52.4K
SpaceX,@SpaceX,2022-12-08 22:34:17,Stage separation ,"3,401",734,31.1K
SpaceX,@SpaceX,2022-12-08 22:28:28,"Liftoff! 0:15
753.3K views","4,352",954,39.6K
前澤友作@MZDAO,@yousuck2020,2022-12-08 22:17:44,"月旅行のクルーが決まりました！
Crew for Moon Trip Selected!!
#dearMoonCrew 
@dearmoonproject dearmoon.earth
Meet the dearMoon Crew!
Meet the crew joining Yusaku Maezawa on this lunar mission aboard SpaceX's Starship","7,731","1,631",34.9K
Elon Musk,@elonmusk,2022-12-03 10:36:59,Twitter servers are running at Warp 9!! ,46.4K,15.5K,522.3K
Elon Musk,@elonmusk,2022-12-02 23:44:15,"Here we go!!  Matt Taibbi
@mtaibbi
·
Dec 3, 2022
1. Thread: THE TWITTER FILES
Show this thread",97.2K,26.1K,401K
Elon Musk,@elonmusk,2022-12-02 22:21:25,"We’re double-checking some facts, so probably start live tweeting in about 40 mins 33.7K
30.7K
269.5K",30.7K,33.7K,269.5K
Elon Musk,@elonmusk,2022-12-02 20:48:55,"Replying to 
@elonmusk This will be awesome ",15.3K,"6,290",233.4K
Elon Musk,@elonmusk,2022-12-02 20:39:24,"What really happened with the Hunter Biden story suppression by Twitter will be published on Twitter at 5pm ET! 55.5K
120.5K
711.8K",120.5K,55.5K,711.8K
Elon Musk,@elonmusk,2022-12-02 20:08:44,"Please screenshot examples that Twitter needs to fix 22K
8,829
106.5K","8,829",22K,106.5K
Elon Musk,@elonmusk,2022-12-02 20:07:37,"Replying to 
@elonmusk Not counting those behind the “see more replies” aka probable spam button","2,183","2,041",36.3K
Elon Musk,@elonmusk,2022-12-02 20:06:20,"Major Twitter system improvements were implemented this week to drop hammer hard on spam/scam accounts.

Taking just past 24 hours, does it seem like there are far fewer? Yes
62%
No
38%
1,410,340 votes
·
Final results","9,994",12K,69.3K
Elon Musk,@elonmusk,2022-12-02 19:46:45,"Twitter is now serving almost 90 billion tweet impressions per day!

Just how incredibly alive the system actually is will become obvious as we show view count on all tweets. 9,098
20.2K
235.8K",20.2K,"9,098",235.8K
Elon Musk,@elonmusk,2022-12-02 19:17:52,"There are about 500M tweets per day & billions of impressions, so hate speech impressions are <0.1% of what’s seen on Twitter! 3,702
7,508
85.3K","7,508","3,702",85.3K
Elon Musk,@elonmusk,2022-12-02 18:53:08,"Hate speech impressions (# of times tweet was viewed) continue to decline, despite significant user growth!
@TwitterSafety
 will publish data weekly.

Freedom of speech doesn’t mean freedom of reach. Negativity should & will get less reach than positivity. ",15.5K,10.7K,124.5K
Elon Musk,@elonmusk,2022-12-02 16:41:04,"You know Twitter is being fair when extremists on far right and far left are simultaneously upset!

Twitter aims to serve center 80% of people, who wish to learn, laugh & engage in reasoned debate.  31.9K
46.7K
500.2K",46.7K,31.9K,500.2K
Elon Musk,@elonmusk,2022-11-28 18:07:57,"Who else has Apple censored? LBRY
@LBRYcom
·
Nov 28, 2022
Replying to @elonmusk
During Covid, Apple demanded our apps filter some search terms from being returned. If we did not filter the terms, our apps would not be allowed in the store. 

Apple may make good products, but they have been opposed to free speech for some time.",22.3K,"9,764",146K
Elon Musk,@elonmusk,2022-11-28 18:04:47,"What’s going on here 
@tim_cook
? 16.9K
22.2K
278.5K",22.2K,16.9K,278.5K
Elon Musk,@elonmusk,2022-11-28 17:45:31,"Apple has mostly stopped advertising on Twitter. Do they hate free speech in America? 93.4K
80.7K
624.1K",80.7K,93.4K,624.1K
Elon Musk,@elonmusk,2022-11-28 16:51:44,"Greetings, I’m Musket, Elon Musket 6,290
6,893
150.5K","6,893","6,290",150.5K
Elon Musk,@elonmusk,2022-11-28 09:59:50,"There is no excuse for my lack of coasters 11.6K
8,049
235.9K","8,049",11.6K,235.9K
Elon Musk,@elonmusk,2022-11-28 09:48:26,My bedside table ,85.7K,88.1K,877.5K
Elon Musk,@elonmusk,2022-11-28 09:44:01,"The amount of pro psy ops on Twitter is ridiculous! At least with new Verified they will pay $8 for the privilege haha. 9,322
15.4K
181.1K",15.4K,"9,322",181.1K
Amazing Maps,@amazingmap,2022-11-24 21:36:22,All of US history has occurred within a single Pluto orbit ,10K,"1,406",67K
