Uporabnisko ime,Handle,Cas,Body,Retweet,Reply,Likes
Wicked,@w_s_bitcoin,2023-03-27 13:53:40,"#Bitcoin is a hedge against a complete global financial meltdown. 5
19
174
6,086",19,5,174
Mastermind,@CairIBMenger,2023-03-27 13:45:28,₿e like ₿illy. #Bitcoin ,3,11,6
Crypto Rover,@rovercrc,2023-03-27 13:22:00,#BITCOIN BREAKOUT IMMINENT!  ,100,135,760
Bitcoin News,@BitcoinNewsCom,2023-03-27 13:21:13,"MicroStrategy's average price per #Bitcoin is ~$29,817 ",207,58,"1,083"
Seth,@seth_fin,2023-03-27 13:17:37,"RIP all the poor people laughing and trolling a Billionear!
@saylor
 will be one of the most powerful Chairman in the world, in one of the wealthiest companies in the world in 2025! Holding around 150.000 #Bitcoin 

Don't laugh at others!
Imagine when #BTC hit 150k or 500k? Michael Saylor
@saylor
·
21h
MicroStrategy repaid its $205M Silvergate loan at a 22% discount. As of 3/23/23, $MSTR acquired an additional ~6,455 bitcoins for ~$150M at an average of ~$23,238 per #bitcoin & held ~138,955 BTC acquired for ~$4.14B at an average of ~$29,817 per bitcoin. https://microstrategy.com/en/investor-relations/financial-documents/microstrategy-repaid-silvergate-loan-and-increased-bitcoin-holdings-by-6455-and-now-holds-138955-btc_3-27-2023…",21,19,205
₿itcoin Xoe,@Bitcoin_Xoe,2023-03-27 13:05:00,"American Institutions Are Increasingly Buying #Bitcoin yahoo.com
American Institutions Are Increasingly Buying Bitcoin: Analyst
American business hours have been a major source of bullish pressure since the beginning of the year, according to a report from Matrixport. ""Bitcoin is up around 66% year to date, but 47% of those...",6,14,17
EvanLuthra.eth,@EvanLuthra,2023-03-27 12:57:26,"Doesn't matter what time is it in your country, it's always a #Bitcoin time ",95,33,211
Mr. Man,@MrManXRP,2023-03-27 12:55:00,"Mainstream is talking about the de-dollarization of the US dollar by other nations.
By no means am I a #bitcoin investor, nor am I offering financial advise around it.  Take from this video what you find important.  My intent is solely to show you the video clip. Dennis Porter
@Dennis_Porter_
·
Mar 27
The dollar is in rapid decline. The USAs only option might be to move onto a #Bitcoin standard.",15,9,65
Rick C312,@TrueRick312,2023-03-27 12:36:19,"The market remains stuck in a zero-sum game: the recent pump of #Bitcoin has come exclusively from altcoins (bearish) and stablecoins, not from net money inflows. 

Could #BTC keep going up? Yes, but at the cost of further dumps in alts -> not in a bull run yet. 

#Crypto ",16,36,244
Cointelegraph,@Cointelegraph,2023-03-27 12:33:34,"MicroStrategy has repaid the Silvergate loan at a 22% discount and started buying #Bitcoin again. cointelegraph.com
Michael Saylor’s MicroStrategy repays Silvergate loan and buys 6.5K BTC
Michael Saylor’s MicroStrategy has resumed Bitcoin purchases, buying additional 6,455 BTC at an average price of $23,238 per coin.",59,35,240
Bitcoin Magazine,@BitcoinMagazine,2023-03-27 12:21:42,"JUST IN: MicroStrategy now owns 138,955 #bitcoin worth $3.8 BILLION Michael Saylor and MicroStrategy","1,037",277,"5,886"
Michael Saylor,@saylor,2023-03-27 12:10:48,"MicroStrategy repaid its $205M Silvergate loan at a 22% discount. As of 3/23/23, $MSTR acquired an additional ~6,455 bitcoins for ~$150M at an average of ~$23,238 per #bitcoin & held ~138,955 BTC acquired for ~$4.14B at an average of ~$29,817 per bitcoin. microstrategy.com
MicroStrategy Repays $205M Bitcoin-Collateralized Loan in Full at 22% Discount for $160M, Acquires...
March 27, 2023","5,109","1,826",22.9K
CryptoJack,@cryptojack,2023-03-27 12:00:37,"Everyone can use #bitcoin . That is the point.  258
76
162
6,122",76,258,162
Crypto Rover,@rovercrc,2023-03-27 11:55:00,"The CEO of Apple owns #Bitcoin 

Apple will buy #Bitcoin inevitably. 241
252
1,519
47.6K",252,241,"1,519"
Monero Bull,@anonmonerobull,2023-03-27 11:44:18,"BitcoinMagazine: RT 
@pete_rizzo_
:  Today is Ross Ulbricht's 39th birthday. He's been in jail since he was 29. That's 10 birthdays behind bars.

Free Ross. Free #Bitcoin Free_Ross",4,4,26
Tom,@thomas_fahrer,2023-03-27 11:30:34,"#Bitcoin's market capitalization surpasses that of any individual global bank.

It's only a matter of time before it exceeds the combined value of all banks worldwide. ",128,47,458
RIZZO,@pete_rizzo_,2023-03-27 11:15:15," Today is Ross Ulbricht's 39th birthday. He's been in jail since he was 29. That's 10 birthdays behind bars.

Free Ross. Free #Bitcoin Free_Ross",566,171,"3,037"
Sanjna M,@sanjna_connect,2023-03-27 11:11:05,"I don't understand people who ask me 'do you believe in #Bitcoin ? '

There is nothing to believe in, it's all HARD facts. 

Bitcoin is decentralized 
The maximum supply is limited to 21 million coins
Transactions are recorded on a public ledger

Those are the 3 most… 54
51
355
26.3K",51,54,355
Lark Davis,@TheCryptoLark,2023-03-27 10:16:01,"The dollar is not too big to fail. 

However, if we just replace it with the Yuan then it will be ""new boss same as old boss"". 

We need real change.

We need #bitcoin ! 142
123
857
46.3K",123,142,857
BTC Prague,@BtcPrague,2023-03-27 08:38:19,"Do you feel that a legacy financial institution is a house of cards on fire?

₿e your own bank!  #bitcoin ",12,9,49
Jam.EPIC,@Jam__EPIC,2023-03-27 08:33:14,"No wonder I feel like I’m moving in the direction of a Libertarian viewpoint.

Shrinking government = taxation

If #crypto is adopted, & the usage of fiat decreases, the ability to tax via coercion is reduced  decreasing government funding, & therefore size!

#BTC #Bitcoin ",15,18,28
The Krypto Miners Club,@thekryptominers,2023-03-27 08:01:06," Krypto Miners Club News

Krypto Miners Club has released the first phase of their NFT collection on the 
@0xPolygon
. This collection consists of 8,888 NFTs, each of which has distinct qualities & characteristics.

https://tinyurl.com/evmz8xpk

#CryptoNews #Bitcoin #KMC ",15,14,17
Crypto Rover,@rovercrc,2023-03-27 07:25:54,"#Bitcoin will hit $40,000 in 2023. 206
97
773
33K",97,206,773
₿ Didi Taihuttu ₿ ALLIN,@Diditaihuttu,2023-03-27 07:06:07,Just a #BankCrash reason reminder!! Buy #Bitcoin asap!!! ,97,23,247
Bitcoin Magazine,@BitcoinMagazine,2023-03-26 23:52:02,"Fiat in Venezuela is so worthless people leave it on the streets

 needs #Bitcoin ","2,153",427,"8,025"
Michael Saylor,@saylor,2023-03-26 13:31:35,#Bitcoin is the only thing you can take with you. HACKZERO,"2,014",877,12.7K
Bit Paine,@BitPaine,2023-03-24 19:30:28,"If the RESTRICT ACT (“Tiktok ban”) passes, it will be used to attempt a ban on #bitcoin.

Have any of y’all actually read the text of the bill? 

This isn’t about Tiktok. This gives the executive branch total control to police the internet. 

Wake up. ","1,925",404,"3,984"
naiive,@naiivememe,2023-03-11 10:09:26,"#Bitcoin From 
btctwiter","2,581",525,"7,500"
