Uporabnisko ime,Handle,Cas,Body,Retweet,Reply,Likes
Elon Musk,@elonmusk,2023-03-21 01:41:10,"Follow 
@HelpfulNotes
 to read highly rated 
@CommunityNotes 3,343
3,170
24.8K
11.9M","3,170","3,343",24.8K
SpaceX,@SpaceX,2023-03-20 22:22:03,View from the second stage following last week's launch of SES-18 and SES-19 to a geosynchronous transfer orbit ,"6,588","2,902",41.7K
Elon Musk,@elonmusk,2023-03-20 17:44:47," open.spotify.com
RIP Harambe
Emo G Records · Song · 2019","1,929","1,501",22.7K
Elon Musk,@elonmusk,2023-03-19 18:03:13,"Cappuccino/latte art is delightful 2,702
2,207
38.3K
5.8M","2,207","2,702",38.3K
Elon Musk,@elonmusk,2023-03-19 17:50:41,"A latte is really just an excuse for adults to order warm milk without sounding like a baby 19K
29K
284K
41.9M",29K,19K,284K
Elon Musk,@elonmusk,2023-03-19 11:48:18,"press@twitter.com now auto responds with  9,857
9,342
89.2K
28.4M","9,342","9,857",89.2K
Elon Musk,@elonmusk,2023-03-19 05:55:01,"en tro py … en tro py … no escaping that for me 6,966
4,844
53K
19.9M","4,844","6,966",53K
Elon Musk,@elonmusk,2023-03-18 23:31:48,"This platform is growing fast! 

Just exceeded 8 billion user-minutes per day … of the most influential, smartest people on Earth  17.2K
25.7K
245.9K
29.2M",25.7K,17.2K,245.9K
Elon Musk,@elonmusk,2023-03-18 21:04:43,"In the coming weeks, Twitter will prioritize replies by:

1. People you follow
2. Verified accounts
3. Unverified accounts

Verified accounts are 1000X harder to game by bot & troll armies.

There is great wisdom to the old saying: “You get what you pay for.” 18.2K
20.9K
140.9K
32.3M",20.9K,18.2K,140.9K
Elon Musk,@elonmusk,2023-03-18 11:25:45,"Very important thread Matt Taibbi
@mtaibbi
·
Mar 17
1.TWITTER FILES #19
The Great Covid-19 Lie Machine
Stanford, the Virality Project, and the Censorship of “True Stories”
Show this thread",35.1K,"6,526",110.9K
Tesla Europe,@tesla_europe,2023-03-18 10:35:44, at Giga Berlin  ,"2,546","1,097",22.2K
Elon Musk,@elonmusk,2023-03-18 10:34:40,"Engineering is true magic 13.2K
25.4K
183.1K
31.4M",25.4K,13.2K,183.1K
Elon Musk,@elonmusk,2023-03-18 01:35:38,"Of Course I Still Love You SpaceX
@SpaceX
·
Mar 17
Falcon 9’s first stage has landed on the Of Course I Still Love You droneship","5,173","3,980",55.8K
Elon Musk,@elonmusk,2023-03-18 01:14:41,"In the months ahead, we will use AI to detect & highlight manipulation of public opinion on this platform.

Let’s see what the psy ops cat drags in … 15.4K
27.9K
170.4K
28.4M",27.9K,15.4K,170.4K
Elon Musk,@elonmusk,2023-03-18 00:46:33,"Congrats to 
@SpaceX
 team for launching 2 rockets within 4 hours! ","6,156","3,058",77.9K
Elon Musk,@elonmusk,2023-03-18 00:38:32,Peace was never an option ,27.3K,"7,964",317.2K
Elon Musk,@elonmusk,2023-03-18 00:37:19,Archangel-12 ,10.9K,"8,966",271.7K
Elon Musk,@elonmusk,2023-03-17 22:00:05,"Take that, ChatGPT! 2,047
2,747
39.3K
4.5M","2,747","2,047",39.3K
Elon Musk,@elonmusk,2023-03-17 21:58:02,"To meme the impossible meme  
To fight the unbeatable foe  
To bear with unbearable sorrow 
To run where the brave dare not go

To right, the un-rightable rong  
To  pure and chaste from afar
To try when your arms are too weary 
To reach the unreachable  

This is… Show more 8,877
15.7K
101K
22.5M",15.7K,"8,877",101K
Elon Musk,@elonmusk,2023-03-17 21:16:06,"Our “algorithm” is overly complex & not fully understood internally. People will discover many silly things , but we’ll patch issues as soon as they’re found!

We’re developing a simplified approach to serve more compelling tweets, but it’s still a work in progress. That’ll also… Show more 4,882
9,159
94.1K
9.9M","9,159","4,882",94.1K
Elon Musk,@elonmusk,2023-03-17 21:01:39,"Twitter will open source all code used to recommend tweets on March 31st 6,313
20.9K
152.3K
29.4M",20.9K,"6,313",152.3K
Elon Musk,@elonmusk,2023-03-16 19:55:48,Describes a significant portion of this platform ,14.1K,"9,730",125.1K
Elon Musk,@elonmusk,2023-03-16 19:52:33,"It’s exciting to see more & more public figures engaging in active dialogue on this platform! 

Sure, people will say foolish things from time to time (myself especially), but that’s way better than silence or sanitized “press releases” that’re basically just boring propaganda. 7,911
20.5K
164.4K
18.6M",20.5K,"7,911",164.4K
Elon Musk,@elonmusk,2023-03-16 19:46:44,"Best way to fight misinformation is to respond with accurate information, not censorship 23.9K
66.2K
377.8K
35.7M",66.2K,23.9K,377.8K
Elon Musk,@elonmusk,2023-03-16 19:41:37,"If other party is always wrong
And your party is always right
You are at least partly wrong 9,340
13.3K
118.6K
18.6M",13.3K,"9,340",118.6K
Tesla,@Tesla,2023-03-16 19:15:52,Ultra Red ,"4,897","2,635",60.1K
Elon Musk,@elonmusk,2023-03-16 17:50:09,"*not terrible 2,797
1,512
25.8K
5M","1,512","2,797",25.8K
Elon Musk,@elonmusk,2023-03-16 17:10:48,"You’re terrible & I love you 17.1K
23.4K
166.8K
34.3M",23.4K,17.1K,166.8K
Elon Musk,@elonmusk,2023-03-16 16:44:11,"It’s kinda flattering to be insulted on this site tbh 15.7K
12.2K
146.1K
31M",12.2K,15.7K,146.1K
Elon Musk,@elonmusk,2023-03-16 07:12:32,"You can ring my bell, ring my bell 16.3K
9,761
113.5K
27.1M","9,761",16.3K,113.5K
Elon Musk,@elonmusk,2023-03-16 06:28:48,"Mis An Thropic Thunder 3,417
2,816
35.2K
14.4M","2,816","3,417",35.2K
Elon Musk,@elonmusk,2023-03-16 00:29:27,"Microsoft fired their AI safety team? arstechnica.com
Report: Microsoft cut a key AI ethics team
Expert calls decision ""damning,"" says it's time for regulators to get involved.",13.2K,"8,256",72.5K
Elon Musk,@elonmusk,2023-03-15 19:29:12,"Starlink now offers global roaming SpaceX
@SpaceX
·
Mar 15
Starlink now offers a global roaming option for customers traveling to locations where connectivity has been unreliable or completely unavailable → http://starlink.com/roam
Show this thread","9,089","5,620",74K
Elon Musk,@elonmusk,2023-03-15 05:24:26,"Funny cause it’s true babylonbee.com
Kim Jong Un Attends Ivy League University To Learn New Brainwashing Techniques
NEW YORK, NY—According to sources, beloved North Korean tyrant and lover of doughnuts Kim Jong Un is now attending Columbia University, a prestigious Ivy League school, to learn new brainwashing...",21K,"6,943",151.9K
SpaceX,@SpaceX,2023-03-15 02:13:59,"Falcon 9 launches Dragon to the 
@space_station ","3,957","1,012",32.6K
SpaceX,@SpaceX,2023-03-15 00:43:49,"Dragon separation confirmed; autonomous docking with the 
@space_station
 on Thursday, March 16 at ~7:52 a.m. ET ","2,168",748,19.5K
Elon Musk,@elonmusk,2023-03-14 17:48:26,"Parents don’t realize the Soviet level of indoctrination that their children are receiving in elite high schools & colleges! Aaron Sibarium
@aaronsibarium
·
Mar 14
NEW: Hundreds of Stanford students lined the halls yesterday to protest the law school’s dean, Jenny Martinez, for apologizing to Kyle Duncan, the judge shouted down last week.

The students effectively subjected Martinez to an intimidating walk of shame.https://freebeacon.com/campus/student-activists-target-stanford-law-school-dean-in-revolt-over-her-apology/…
Show this thread",37.8K,13.8K,172.6K
Elon Musk,@elonmusk,2023-03-14 17:09:31,"The intent is for this site to be fair & impartial, favoring no party, seeking only the least wrong truth. Elon Musk
@elonmusk
·
Mar 14
Fight for truth, whole truth & nothin but! twitter.com/CommunityNotes…",16.6K,15.3K,118.4K
Elon Musk,@elonmusk,2023-03-14 05:17:16,"Fight for truth, whole truth & nothin but! Community Notes
@CommunityNotes
·
Mar 14
Sign up to become a Community Notes contributor: https://twitter.com/i/flow/join-birdwatch…",11.3K,"8,145",81.1K
Tesla Europe,@tesla_europe,2023-03-13 17:54:20,"Regenerative braking turns our motors into generators, converting kinetic energy into electricity—recharging your Tesla's battery & slowing down the vehicle

Using the motors instead of friction brake means brake pads last longer & need to be replaced less frequently Theo Lagendijk
@theolagendijk
·
Mar 13
Replying to @BrandonTSLA and @Tesla
Last summer we did a #TeslaModel3 road trip trough Europe. I loved driving the mountains there. Uphill because of the amazing power of the #Tesla. Downhill because of the awesome recharging of the battery by the regenerative breaking. So, mountains in Switzerland for me!","2,150","1,514",19.2K
Elon Musk,@elonmusk,2023-03-12 03:02:47,"Yay!! SpaceX
@SpaceX
·
Mar 12
Splashdown of Dragon confirmed – welcome back to Earth, @AstroDuke, @Astro_Josh, @Astro_Wakata, and Anna!","8,832","7,959",107.1K
Elon Musk,@elonmusk,2023-03-12 01:08:56,"“These are the good old days!” – frens 9,048
10K
92.2K
24.5M",10K,"9,048",92.2K
SpaceX,@SpaceX,2023-03-12 00:58:05,"Watch Dragon and Crew-5 return to Earth → http://spacex.com/launches 2:04:54
1.3M viewers
SpaceX
@SpaceX
Crew-5 Mission | Return","3,182","1,126",19K
Elon Musk,@elonmusk,2023-03-11 11:46:47,"The sum of a cult should be greater than the parts/prophets/profits 9,891
8,666
75.4K
18.7M","8,666","9,891",75.4K
International Space Station,@Space_Station,2023-03-11 07:49:09,"Crew-5 is returning to Earth after undocking from the station in the 
@SpaceX
 Dragon Endurance at 2:20am ET. 
@NASA
 TV coverage of deorbit and splashdown resumes at 8pm ET. More details.. https://go.nasa.gov/3l6gLgE ","3,298","1,240",25.2K
International Space Station,@Space_Station,2023-03-11 05:41:53,"The hatch is now closed between the 
@SpaceX
 Dragon Endurance spacecraft and the space station as the crew prepares for undocking. 
@NASA
 TV coverage resumes at 1:45am ET. More details.. https://go.nasa.gov/3JxyXZU ","2,496",891,21.1K
Elon Musk,@elonmusk,2023-03-11 05:07:57,Yesterday ,16.7K,"9,725",249.7K
Elon Musk,@elonmusk,2023-03-10 23:31:04,"Chansley got 4 years in prison for a non-violent, police-escorted tour!?

Dave Chapelle was violently assaulted on stage by a guy with a knife. That guy got a $3000 fine & no prison time. Greg Price
@greg_price11
·
Mar 7
BREAKING: Never before seen video of January 6 shows Jacob Chansley, the QAnon Shaman, being led through the Capitol by police the entire time that he was in the building.",95.2K,27.5K,379.2K
Elon Musk,@elonmusk,2023-03-10 23:18:05,"Free Jacob Chansley Chuck Callesto
@ChuckCallesto
·
Mar 10
JUST IN: Censored video re-emerges of Jacob Chansley reading Trump’s tweet, telling protestors to GO HOME and remain peaceful.. 

WON’T SEE THIS ON CNN…
Show this thread",93.3K,22.2K,328.7K
Elon Musk,@elonmusk,2023-03-10 00:16:05,"To be alerted about new tweets from any account, tap the bell symbol on the profile page ","8,342",11.3K,77.9K
SpaceX,@SpaceX,2023-03-09 21:21:36,"Falcon 9 launches 40 
@OneWeb
 satellites to orbit, first stage booster returns to Earth ","3,644",979,32.9K
Elon Musk,@elonmusk,2023-03-09 17:04:16,"Concerning Matt Taibbi
@mtaibbi
·
Mar 9
1.  TWITTER FILES:
 Statement to Congress
THE CENSORSHIP-INDUSTRIAL COMPLEX
Show this thread",33.8K,10K,142.6K
Elon Musk,@elonmusk,2023-03-09 09:50:55,Sometimes we miss here at Starbase ,"4,936","5,170",93.6K
Elon Musk,@elonmusk,2023-03-08 22:37:43,  ,31.4K,16.5K,371.2K
Elon Musk,@elonmusk,2023-03-08 21:56:55,"<Insert Cartridge> 
<Run Program> ",30.2K,22.8K,363.5K
Teslaconomics,@Teslaconomics,2023-03-08 00:16:28,"Twitter will be the place where world participants go to find the truth with the least amount of error. 
@elonmusk ","6,634","4,586",44.8K
Gail Alfar,@GailAlfarATX,2023-03-07 20:04:16,"“We don’t want to be one of those lame, one-planet, civilizations, please!!” - 
@elonmusk
 today live on Morgan Stanley Conference.   0:34
1.1M views","2,294","1,304",18.6K
Elon Musk,@elonmusk,2023-03-07 18:49:05,"Livestream interview in 15 mins at Morgan Stanley Conference https://event.webcasts.com/starthere.jsp?ei=1603299&tp_key=5994a5da5f… 3,851
3,679
29.8K
17.8M","3,679","3,851",29.8K
New York Post,@nypost,2023-03-07 11:58:26,Today's cover: Jan. 6 footage shows Capitol cops escorting QAnon Shaman to Senate floor https://trib.al/G8LBB9C ,22.4K,"3,089",70.3K
New York Post,@nypost,2023-03-07 01:22:17,Footage shows Capitol cop Brian Sicknick uninjured on Jan. 6 https://trib.al/XukSaQ8 ,13.9K,"3,223",53.1K
Greg Price,@greg_price11,2023-03-07 01:12:21,"BREAKING: Never before seen video of January 6 shows Jacob Chansley, the QAnon Shaman, being led through the Capitol by police the entire time that he was in the building. ",84.2K,12.9K,253.5K
Elon Musk,@elonmusk,2023-03-07 00:51:15,"Be careful to not almost die from using this app too long on the  

I speak from experience ",18.2K,"9,470",133.6K
Elon Musk,@elonmusk,2023-03-07 00:25:41,"This helpful video explains what happened at Twitter today youtube.com
Madagascar 2 Plane Crash Scene","5,903","5,917",49.6K
Elon Musk,@elonmusk,2023-03-06 22:08:42,"Accounts engaging in repeated, egregious weaponization of DMCA on Twitter or encouraging weaponization of DMCA will receive temporary suspensions. 

That said, reasonable media takedown requests are, of course, appropriate and will always be supported. 5,525
7,886
62.1K
22.5M","7,886","5,525",62.1K
Elon Musk,@elonmusk,2023-03-06 09:59:54,"(real article from organization calling itself bbc) 4,553
4,322
69.5K
7.3M","4,322","4,553",69.5K
Elon Musk,@elonmusk,2023-03-06 09:57:26,Sorry for turning Twitter from nurturing paradise into place that has … trolls  ,17.5K,14.1K,138.1K
Elon Musk,@elonmusk,2023-03-05 23:32:11,"Add Fun to the FDA & rename to FFDA Make fun legal!
76.1%
No, I hate fun.
23.9%
402,015 votes
·
Final results","3,625","4,156",24.3K
Elon Musk,@elonmusk,2023-03-05 07:03:54,How to sabotage an organization … ,25.8K,10.4K,135.2K
Elon Musk,@elonmusk,2023-03-05 01:03:21,"Aiming to roll out ability to reply to individual DMs, use any reaction emoji & encryption later this month 6,830
7,072
69.4K
23.1M","7,072","6,830",69.4K
Elon Musk,@elonmusk,2023-03-04 16:48:05,"We should defund the GEC Jonathan Turley
@JonathanTurley
·
Mar 4
An old saying maintains that you do not have to find a trout in your glass to know someone is watering down the milk. This week Americans found a veritable school of trout in their milk... https://thehill.com/opinion/judiciary/3883931-twitter-discloses-another-possible-government-censorship-effort/…
Show this thread","6,080","2,874",34.5K
Elon Musk,@elonmusk,2023-03-04 13:56:23,Something should be done ,12.8K,25.1K,153.2K
Elon Musk,@elonmusk,2023-03-03 20:02:20,"169 mT to orbit this year so far 5,525
4,536
53.8K
22.6M","4,536","5,525",53.8K
Elon Musk,@elonmusk,2023-03-03 18:56:06,"Stage 1 to stage 2 mass ratio is too high on Falcon 9, necessitating a long entry burn. This is fixed on Starship. 1,708
2,056
20.8K
5.2M","2,056","1,708",20.8K
Elon Musk,@elonmusk,2023-03-03 18:39:00,"Another launch SpaceX
@SpaceX
·
Mar 3
Watch Falcon 9 launch 51 Starlink satellites to orbit → http://spacex.com/launches https://twitter.com/i/broadcasts/1zqJVPADnrMKB…","4,094","2,882",40.9K
Elon Musk,@elonmusk,2023-03-03 18:16:10,"“I used to be in crypto, but now I got interested in AI"" 34K
34.3K
275.1K
50.1M",34.3K,34K,275.1K
SpaceX,@SpaceX,2023-03-03 13:06:11,"More pics of Dragon and Crew-6 approaching the 
@space_station
 this morning ","4,233","1,040",29.7K
Elon Musk,@elonmusk,2023-03-02 07:46:06,"The ability of Twitter advertising to reach the most influential people in the world is often not fully appreciated.

While a few other social networks are technically bigger, Twitter is where the writers & leaders spend their time. 13.1K
15.8K
143.7K
31.3M",15.8K,13.1K,143.7K
SpaceX,@SpaceX,2023-03-02 05:35:28,Liftoff of Crew-6! ,"6,410","1,810",39.3K
NASA,@NASA,2023-03-02 05:04:04,"Rocket fueling has started and all systems remain GO for launch.

NASA’s 
@SpaceX
 #Crew6 mission is set to lift off at 12:34am ET (0534 UTC). The countdown continues. NASA
@NASA
Launch of NASA's SpaceX Crew-6 Mission","3,068",766,15.6K
SpaceX,@SpaceX,2023-03-02 04:50:20,Crew-6 is go for launch ,"4,966","1,283",41.2K
SpaceX,@SpaceX,2023-03-02 04:33:50,"Watch Falcon 9 launch Dragon and Crew-6 to the 
@space_station
 → http://spacex.com/launches 1:34:53
913K viewers
SpaceX
@SpaceX
Crew-6 Mission | Launch","3,087",529,14.8K
Elon Musk,@elonmusk,2023-03-02 02:57:31,"Twice as many people died in Japan last year as were born. Population freefall.

Rest of the world is trending to follow.

https://amp.cnn.com/cnn/2023/03/01/asia/japan-births-2022-record-low-intl-hnk/index.html… 17.7K
30.9K
140.9K
37.9M",30.9K,17.7K,140.9K
NASA,@NASA,2023-03-02 01:46:02,"Go for launch!

Watch #Crew6 blast off to the 
@Space_Station
 in 
@SpaceX
's Dragon Endeavour spacecraft. The upcoming launch attempt is scheduled for 12:34am ET (0534 UTC) on Thursday, March 2. NASA
@NASA
Launch of NASA's SpaceX Crew-6 Mission","4,108",768,17.2K
Tesla,@Tesla,2023-03-01 23:32:58,We produced our 4 millionth vehicle at Giga Texas today  ,"5,178","2,254",50.4K
Elon Musk,@elonmusk,2023-03-01 22:16:01,"Detailed whitepaper with calculations & assumptions to be released by Tesla shortly 2,395
2,555
36.4K
5.8M","2,555","2,395",36.4K
Tesla,@Tesla,2023-03-01 21:32:08,"Tesla’s purpose is to accelerate the world’s transition to sustainable energy 

Today, we’re unveiling Master Plan 3—the path to a fully renewable energy future for  ","4,162","1,222",27.2K
Elon Musk,@elonmusk,2023-03-01 21:24:19,"… Tesla
@Tesla
·
Mar 1
Tesla Investor Day https://twitter.com/i/broadcasts/1ynJOaWDYYzKR…","3,292","2,353",29K
Elon Musk,@elonmusk,2023-03-01 21:15:10,"You’re not gonna believe this, but we’re running a little late! 

Presentation starts in ~5 mins. Tesla
@Tesla
·
Feb 28
Tesla Investor Day streaming live on Twitter & YouTube at 3pm CT tomorrow","3,257","3,368",38.6K
Elon Musk,@elonmusk,2023-03-01 06:25:20,"What do you call an infinite gear ratio?
All torque, no action. 10.4K
7,910
95K
26.6M","7,910",10.4K,95K
Elon Musk,@elonmusk,2023-02-28 22:36:16,"Periodic reminder to try using Twitter Lists. Will greatly improve your experience. 8,494
24.9K
79.3K
34.3M",24.9K,"8,494",79.3K
Tesla,@Tesla,2023-02-28 19:15:35,"Tesla Investor Day streaming live on Twitter & YouTube at 3pm CT tomorrow 1,315
3,248
21.3K
40.7M","3,248","1,315",21.3K
Elon Musk,@elonmusk,2023-02-28 17:44:21,"BasedAI 7,577
5,321
55.6K
20.9M","5,321","7,577",55.6K
Elon Musk,@elonmusk,2023-02-28 02:28:19,First Starlink v2 satellites reach orbit ,27.1K,13.2K,305.7K
SpaceX,@SpaceX,2023-02-28 01:21:45,Falcon 9 launches 21  second-generation Starlink satellites to orbit ,"4,794","1,082",38.8K
SpaceX,@SpaceX,2023-02-27 23:14:46,Liftoff! ,"4,589","1,323",34.2K
SpaceX,@SpaceX,2023-02-27 23:06:51,"Watch Falcon 9 launch 21 Starlink V2 Mini satellites to orbit → http://spacex.com/launches SpaceX
@SpaceX
Starlink Mission","2,815",657,17.1K
SpaceX,@SpaceX,2023-02-26 23:46:28,Sunset at the pad ,"4,304","1,511",37.4K
Elon Musk,@elonmusk,2023-02-26 21:49:02,"But, all things considered with regard to AGI existential angst, I would prefer to be alive now to witness AGI than be alive in the past and not 2,787
2,004
25.3K
6.2M","2,004","2,787",25.3K
Elon Musk,@elonmusk,2023-02-26 18:39:17,"Hope you have a good Sunday. 

First day of the rest of your life. 17.3K
22.7K
319K
62.5M",22.7K,17.3K,319K
Elon Musk,@elonmusk,2023-02-26 18:10:41,"Astronaut launch for 
@NASA
 tomorrow night! SpaceX
@SpaceX
·
Feb 26
All systems and weather are looking good for launch of Crew-6 → http://spacex.com/launches","7,193","3,129",108.2K
Elon Musk,@elonmusk,2023-02-26 17:51:22,"Having a bit of AI existential angst today 9,111
6,707
95.4K
40.9M","6,707","9,111",95.4K
SpaceX,@SpaceX,2023-02-26 17:38:49,"Among other enhancements, V2 minis are equipped with new argon Hall thrusters for on orbit maneuvering ","3,200",776,26.3K
SpaceX,@SpaceX,2023-02-26 17:37:31,We call them “V2 Mini”. They represent a step forward in Starlink capability ,"3,731","1,012",32.4K
