Uporabnisko ime,Handle,Cas,Body,Retweet,Reply,Likes
International Space Station,@Space_Station,2023-03-11 07:49:09,"Crew-5 is returning to Earth after undocking from the station in the 
@SpaceX
 Dragon Endurance at 2:20am ET. 
@NASA
 TV coverage of deorbit and splashdown resumes at 8pm ET. More details.. https://go.nasa.gov/3l6gLgE ","3,297","1,238",25.2K
International Space Station,@Space_Station,2023-03-11 05:41:53,"The hatch is now closed between the 
@SpaceX
 Dragon Endurance spacecraft and the space station as the crew prepares for undocking. 
@NASA
 TV coverage resumes at 1:45am ET. More details.. https://go.nasa.gov/3JxyXZU 0:57
1M views","2,486",889,21.1K
Elon Musk,@elonmusk,2023-03-11 05:07:57,Yesterday ,16.7K,"9,735",249.8K
Elon Musk,@elonmusk,2023-03-03 18:56:06,"Stage 1 to stage 2 mass ratio is too high on Falcon 9, necessitating a long entry burn. This is fixed on Starship. 1,706
2,058
20.9K
5.2M","2,058","1,706",20.9K
Elon Musk,@elonmusk,2023-03-03 18:16:10,"“I used to be in crypto, but now I got interested in AI"" 34K
34.3K
275.4K
50.1M",34.3K,34K,275.4K
SpaceX,@SpaceX,2023-03-03 13:06:11,"More pics of Dragon and Crew-6 approaching the 
@space_station
 this morning ","4,268","1,039",29.8K
Elon Musk,@elonmusk,2023-03-02 07:46:06,"The ability of Twitter advertising to reach the most influential people in the world is often not fully appreciated.

While a few other social networks are technically bigger, Twitter is where the writers & leaders spend their time. 13.1K
15.8K
144K
31.3M",15.8K,13.1K,144K
SpaceX,@SpaceX,2023-03-02 05:35:28,Liftoff of Crew-6! ,"6,429","1,807",39.3K
NASA,@NASA,2023-03-02 05:04:04,"Rocket fueling has started and all systems remain GO for launch.

NASA’s 
@SpaceX
 #Crew6 mission is set to lift off at 12:34am ET (0534 UTC). The countdown continues. NASA
@NASA
Launch of NASA's SpaceX Crew-6 Mission","3,087",762,15.7K
SpaceX,@SpaceX,2023-03-02 04:50:20,Crew-6 is go for launch ,"4,985","1,281",41.2K
SpaceX,@SpaceX,2023-03-02 04:33:50,"Watch Falcon 9 launch Dragon and Crew-6 to the 
@space_station
 → http://spacex.com/launches 1:34:55
909.4K viewers
SpaceX
@SpaceX
Crew-6 Mission | Launch","3,106",528,14.9K
Elon Musk,@elonmusk,2023-03-02 02:57:31,"Twice as many people died in Japan last year as were born. Population freefall.

Rest of the world is trending to follow. amp.cnn.com
Japan births fall to record low as population crisis deepens
The number of births registered in Japan plummeted to another record low last year -- the latest worrying statistic in a decades-long decline that the country's authorities have failed to reverse...",31K,17.7K,141.1K
NASA,@NASA,2023-03-02 01:46:02,"Go for launch!

Watch #Crew6 blast off to the 
@Space_Station
 in 
@SpaceX
's Dragon Endeavour spacecraft. The upcoming launch attempt is scheduled for 12:34am ET (0534 UTC) on Thursday, March 2. NASA
@NASA
Launch of NASA's SpaceX Crew-6 Mission","4,134",766,17.2K
Tesla,@Tesla,2023-03-01 23:32:58,We produced our 4 millionth vehicle at Giga Texas today  ,"5,194","2,250",50.5K
Elon Musk,@elonmusk,2023-03-01 22:16:01,"Detailed whitepaper with calculations & assumptions to be released by Tesla shortly 2,392
2,554
36.5K
5.8M","2,554","2,392",36.5K
Tesla,@Tesla,2023-03-01 21:32:08,"Tesla’s purpose is to accelerate the world’s transition to sustainable energy 

Today, we’re unveiling Master Plan 3—the path to a fully renewable energy future for  ","4,154","1,222",27.2K
Elon Musk,@elonmusk,2023-02-25 21:02:29,"This meme is a for loop 1,786
1,485
28.7K
6.2M","1,485","1,786",28.7K
Elon Musk,@elonmusk,2023-02-25 19:41:42,"Roth IRA vs Wrath IRA 920
1,019
15.5K
4.3M","1,019",920,15.5K
Elon Musk,@elonmusk,2023-02-25 19:37:12,"Replying to 
@elonmusk But which is actually harder, defeating inflation or defeating the British … ?","1,961","3,976",25.4K
Elon Musk,@elonmusk,2023-02-25 19:35:34,Inflation Reduction Act (IRA) vs Irish Republican Army (IRA) ,"7,233","3,461",106K
Elon Musk,@elonmusk,2023-02-18 21:19:27,Surround your house with treadmills set to jogging speed to stop walking dead ur welcome ,38.1K,18.1K,478.7K
Elon Musk,@elonmusk,2023-02-18 08:30:50,Interesting ,18.3K,11K,177K
SpaceX,@SpaceX,2023-02-18 04:32:21,"Deployment of 
@InmarsatGlobal
’s I-6 F2 confirmed ","3,696","1,310",28K
Elon Musk,@elonmusk,2023-02-18 04:04:37,"Second launch today SpaceX
@SpaceX
·
Feb 18
Watch Falcon 9 launch the @InmarsatGlobal I-6 F2 mission to orbit → http://spacex.com/launches https://twitter.com/i/broadcasts/1BRJjZEzQyVJw…","5,477","3,135",74.8K
SpaceX,@SpaceX,2023-02-17 22:55:13,Falcon 9 launches 51 Starlink satellites to orbit ,"3,432",918,34.1K
Tesla Megapack,@Tesla_Megapack,2023-02-17 20:43:14,"Whether it's sunny or snowing, Megapack continues to power Alaska's Kenai Peninsula ","2,583",701,18.3K
Elon Musk,@elonmusk,2023-02-12 19:01:54,"More work team completed over night:

- Removed height penalty affecting tweets with pics/video
- increased # of recommended tweets
- Better tracking of dropped tweets
- Removed filter causing false negatives 
- Removed penalty if user follows author
- Improved reach of retweet 2,259
3,194
31K
10.7M","3,194","2,259",31K
Elon Musk,@elonmusk,2023-02-12 18:34:07,"Don’t worry, just some of my   friends of mine stopping by … 34.9K
62.5K
714.4K
106.9M",62.5K,34.9K,714.4K
Elon Musk,@elonmusk,2023-02-12 06:46:55,"[Oversized font & undersized paragraph spacing will be fixed this week] 1,653
2,465
38.7K
15.7M","2,465","1,653",38.7K
Elon Musk,@elonmusk,2023-02-12 06:45:14,"Long day at Twitter HQ with eng team

Two significant problems mostly addressed:

1. Fanout service for Following feed was getting overloaded when I tweeted, resulting in up to 95% of my tweets not getting delivered at all. Following is now pulling from search (aka Earlybird).… 10K
12.3K
123.8K
48.9M",12.3K,10K,123.8K
Elon Musk,@elonmusk,2023-02-08 01:03:17,". 48.2K
32.9K
371.5K
69.3M",32.9K,48.2K,371.5K
SpaceX,@SpaceX,2023-02-08 00:40:13,"A SpaceX Starlink está agora disponível em todo o Brasil, permitindo que os clientes solicitem o serviço em todo o país → http://starlink.com/map ","2,587","1,059",17K
Elon Musk,@elonmusk,2023-02-07 17:41:38,"Going forward, Twitter will be broadly accepting of different values, rather than trying to impose its own specific values on the world 34.1K
47.2K
423.7K
34.1M",47.2K,34.1K,423.7K
Elon Musk,@elonmusk,2023-02-07 05:25:48,"I feel this one Will Durant
@DurantQuotesBot
·
Feb 6
Automated
The older the civilization, the longer the lawsuits.","4,134","4,834",49.7K
Elon Musk,@elonmusk,2023-02-07 04:26:34,"Actual base level of Maslow’s hierarchy is lack of wifi 6,110
11.5K
113.7K
16.1M",11.5K,"6,110",113.7K
SpaceX,@SpaceX,2023-02-07 02:09:32,"Deployment of 
@Hispasat
’s Amazonas Nexus confirmed ","3,049",739,20.5K
Elon Musk,@elonmusk,2023-02-07 01:44:10,"rtfm SpaceX
@SpaceX
·
Feb 7
Falcon 9’s first stage has landed on the Just Read the Instructions droneship","2,792","1,858",27.8K
SpaceX,@SpaceX,2023-02-07 01:32:55,"Liftoff! 0:23
570.6K views","3,782",808,25.3K
Elon Musk,@elonmusk,2023-02-07 00:44:37,It’s not supposed to be real ,"6,951","5,239",63.4K
Elon Musk,@elonmusk,2023-01-28 19:38:23,"Another major improvement in timeline refresh speed just released – now 10X faster than a few months ago 10.2K
11.9K
146.1K
14.9M",11.9K,10.2K,146.1K
Elon Musk,@elonmusk,2023-01-28 01:29:13,"I work all day, then go home & play work simulator 25.2K
24.1K
369.7K
35.8M",24.1K,25.2K,369.7K
Elon Musk,@elonmusk,2023-01-20 20:20:17,"Twitter app update now available on App Store 7,899
11.4K
136.3K
18.4M",11.4K,"7,899",136.3K
Shibetoshi Nakamoto,@BillyM2k,2023-01-20 20:01:16,"Replying to 
@elonmusk oh that’s actually pretty cool!","1,489",543,13K
Elon Musk,@elonmusk,2023-01-20 19:55:41,"Use pinned Lists to improve your Twitter experience!

1. Tap Lists on your profile page.
2. Create list of accounts to follow.
3. Tap pin icon. 

This allows you to swipe left/right between For You, Following and Lists. 11.6K
11.2K
66.1K
12.2M",11.2K,11.6K,66.1K
Community Notes,@CommunityNotes,2023-01-20 18:36:39,"We are now admitting contributors from the UK , Ireland , Australia  and New Zealand  — welcome to Community Notes! Want to help? Sign up here: https://twitter.com/i/flow/join-birdwatch… 484
1,149
8,809
2.7M","1,149",484,"8,809"
Tesla,@Tesla,2023-01-13 13:45:02,View your charging history & savings for the full year in the Tesla app ,"2,073","1,353",18.6K
Tesla Owners Silicon Valley,@teslaownersSV,2023-01-13 01:23:28,"BREAKING: Tesla Is US Brand with Lowest Maintenance Cost for its Cars with 10 years of Use, Model S Is #1 ⁦
@elonmusk
⁩ tesmanian.com
Tesla Is US Brand with Lowest Maintenance Cost for its Cars with 10 years of Use, Model S Is #1
Tesla has become the brand with the lowest maintenance costs for its vehicles in 10 years of use in the US, a study has shown. Model S and X are the cheapest cars to maintain, while Model 3 and Y are...","3,612","1,361",25K
Matt Taibbi,@mtaibbi,2023-01-12 19:39:30,"The latest #TwitterFiles expose as a total lie a major Russiagate story — that the #ReleaseTheMemo hashtag was fueled by Russian bots: Matt Taibbi
@mtaibbi
·
Jan 12
1.THREAD: Twitter Files #14
THE RUSSIAGATE LIES
One: The Fake Tale of Russian Bots and the #ReleaseTheMemo Hashtag
Show this thread",11.7K,"1,311",38.1K
SpaceX,@SpaceX,2023-01-12 16:09:10,"Team are stepping into a series of tests prior to Starship's first flight test in the weeks ahead, including full stack wet dress rehearsals and hold down firing of Booster 7's 33 Raptor engines 877
2,737
23.3K
3.6M","2,737",877,23.3K
SpaceX,@SpaceX,2023-01-12 16:08:31,More pics of Starship fully stacked on the orbital launch pad at Starbase → http://flickr.com/spacex ,"5,881","1,012",40.3K
Elon Musk,@elonmusk,2023-01-12 14:05:12,Starship launch attempt soon ,29.1K,14.1K,326.6K
Elon Musk,@elonmusk,2023-01-11 19:01:29,"Some things that your party tells you are false and some things that the other party says are true 30.9K
30.2K
312.8K
34M",30.2K,30.9K,312.8K
SpaceX,@SpaceX,2023-01-11 16:56:07,View from the recovery vessel as Dragon returned to Earth ,"4,884","1,334",41.5K
Elon Musk,@elonmusk,2022-12-31 10:00:01,"Unlike likes, bookmarks are private 2,942
4,499
82K
13.2M","4,499","2,942",82K
Elon Musk,@elonmusk,2022-12-31 09:02:21,"Easy to create folders to bookmark tweets into various categories 2,838
5,908
83.9K
15.3M","5,908","2,838",83.9K
Elon Musk,@elonmusk,2022-12-31 08:51:10,"Twitter has a bookmark function accessible through share button on tweet. 

To read bookmarks, tap profile icon.

This obscure UI will be fixed in Jan. 10.3K
15.9K
183K
34.9M",15.9K,10.3K,183K
Elon Musk,@elonmusk,2022-12-30 21:32:50,"If you don’t think there’s at least a tiny chance you’re an NPC … you’re an NPC 33.7K
35.1K
351.4K
55.9M",35.1K,33.7K,351.4K
Elon Musk,@elonmusk,2022-12-30 20:26:24,"New Twitter navigation coming in Jan that allows swiping to side to switch between recommended & followed tweets, trends, topics, etc.

Until then, tap stars icon on upper right of home screen to switch. 8,354
12.9K
129.4K
19.8M",12.9K,"8,354",129.4K
Matt Taibbi,@mtaibbi,2022-12-24 08:38:10,"Notes on a Friday Night: racket.news
Notes on a Friday Night
A few delirious reflections at a crazy month's end","4,642","1,427",24.7K
Elon Musk,@elonmusk,2022-12-23 21:08:26,"Twitter votes for the right haha Elon Musk
@elonmusk
·
Dec 23, 2022
Tweet impression count should
Show this poll",10.7K,12.7K,117.3K
Tesla,@Tesla,2022-12-23 17:50:28,"Giga Texas is alive  Billy
@billykyle
·
Dec 22, 2022
Another view of Giga Texas from the air  @Tesla","3,845","1,682",38.4K
Elon Musk,@elonmusk,2022-12-23 17:08:52,"So you’re saying you prefer the right? Heheh 14.6K
11.5K
213.2K
20M",11.5K,14.6K,213.2K
Elon Musk,@elonmusk,2022-12-23 09:00:12,"Tweet impression count should stay on left
45.7%
move to right
54.3%
2,580,574 votes
·
Final results",30.1K,37.1K,141.9K
Elon Musk,@elonmusk,2022-12-23 02:00:34,"Tweets are read ~100 times more than they are liked 34.8K
42.3K
559K
66.4M",42.3K,34.8K,559K
Elon Musk,@elonmusk,2022-12-22 18:37:21,"Congratulations Tesla Team!! Tesla
@Tesla
·
Dec 22, 2022
Model Y just broke the bestselling car record in Norway, held since 1969 by the Beetle! ",11.6K,"9,716",172.8K
Elon Musk,@elonmusk,2022-12-22 18:34:12,"Meant to say impressions 3,735
3,703
72.7K
12.2M","3,703","3,735",72.7K
Elon Musk,@elonmusk,2022-12-22 16:24:00,"Is this true, 
@SenatorSinema
 and 
@SenatorTester
? Mike Lee
@SenMikeLee
·
Dec 22, 2022
An amendment by Sens Sinema & Tester is designed to ensure a porous border. A wolf in sheep's clothing to  mislead the American people to believe Dems are doing something to secure our borders. It merely provides them cover to vote against my extension of Title 42 protections.
Show this thread
Readers added context they thought people might want to know
Sen. Lee's Title 42 amendment wanted a simple majority but Democrats insisted it require 60 votes, so Tester + Sinema proposed a 60 vote amendment instead to meet that demand. It blocks funds that would've ended Title 42 + includes $8.7bil for ""border security & migrant care.""

rollcall.com/2022/12/22/dea…
Do you find this helpful?
Rate it",14.2K,"5,350",67.8K
Elon Musk,@elonmusk,2022-12-22 16:05:54,"Twitter is rolling out View Count, so you can see how many times a tweet has been seen! This is normal for video.

Shows how much more alive Twitter is than it may seem, as over 90% of Twitter users read, but don’t tweet, reply or like, as those are public actions. 23.6K
50K
398.7K
56.7M",50K,23.6K,398.7K
Elon Musk,@elonmusk,2022-12-22 01:32:28,"One of many product improvements coming to financial Twitter! 

Nice work by Twitter team. Twitter Business
@TwitterBusiness
·
Dec 21, 2022
$Cashtags, now with data 

 $SPY 
Show this thread",11K,"8,459",122.9K
Elon Musk,@elonmusk,2022-12-18 03:59:10,"True creation eventually becomes independent of its creator. Evolution takes the original product far from its origin, with an uncertain outcome.
– Dune, The Machine Crusade 14.7K
16.4K
151.5K
22.9M",16.4K,14.7K,151.5K
Elon Musk,@elonmusk,2022-12-17 21:58:21,"Congrats to SpaceX Team on 3 perfect orbital launches within 36 hours!!! 9,844
19.7K
312.5K
24.9M",19.7K,"9,844",312.5K
Elon Musk,@elonmusk,2022-12-17 21:40:51,"Live launch video SpaceX
@SpaceX
·
Dec 17, 2022
Watch Falcon 9 launch 54 Starlink satellites → http://spacex.com/launches/mission/?missionId=sl4-37… https://twitter.com/i/broadcasts/1mrxmklRBYnGy…","6,375","3,449",67.4K
Elon Musk,@elonmusk,2022-12-14 04:20:23,"Even works with keyboard & mouse 5,013
3,530
79.6K","3,530","5,013",79.6K
Elon Musk,@elonmusk,2022-12-14 04:19:49,"You can play Cyberpunk, Elden Ring and 1000s of other games in your *car* with an epic sound system!! Tesla
@Tesla
·
Dec 13, 2022
Steam is here—bringing thousands of games to new Model S & X vehicles 
Show this thread",20.7K,15.2K,216K
Elon Musk,@elonmusk,2022-12-13 23:21:58,"At risk of stating obvious, beware of debt in turbulent macroeconomic conditions, especially when Fed keeps raising rates 16.4K
28.8K
261K",28.8K,16.4K,261K
Elon Musk,@elonmusk,2022-12-13 23:13:27," Congrats Argentina!!  FIFA World Cup
Argentina vs Croatia",15.6K,"5,304",170.8K
Tesla,@Tesla,2022-12-13 22:16:29,Track Mode coming to Model Y Performance ,"3,800","1,783",37.6K
Tesla,@Tesla,2022-12-13 22:11:51,"Holiday Update rolling out now  2,033
3,666
43.1K","3,666","2,033",43.1K
Elon Musk,@elonmusk,2022-12-13 07:54:49,"The ratio of digital to biological compute is growing exponentially 13.1K
13K
176K",13K,13.1K,176K
Elon Musk,@elonmusk,2022-12-13 01:15:20,"Follow  41.3K
44K
428K",44K,41.3K,428K
Tesla,@Tesla,2022-12-12 15:02:38,"Semi's cabin is significantly bigger than that of traditional heavy trucks, with lots of storage and easy access ","2,710","1,736",28K
Tesla,@Tesla,2022-12-09 18:43:54,"40 Megapack units balance the grid in Lessines, Belgium—making it the biggest operational energy storage system in continental Europe ","3,421","2,134",31K
Elon Musk,@elonmusk,2022-12-09 08:00:28,"These are obvious account deletions with no tweets & no log in for years 7,969
12.6K
178.3K",12.6K,"7,969",178.3K
Elon Musk,@elonmusk,2022-12-09 07:58:55,"Twitter will soon start freeing the name space of 1.5 billion accounts 16.3K
41K
395.9K",41K,16.3K,395.9K
Elon Musk,@elonmusk,2022-12-09 05:13:42,Congrats on Game of Year! ,15.9K,"4,180",228.2K
Elon Musk,@elonmusk,2022-12-09 04:24:22,"Truth brings reconciliation 23.4K
41.3K
358.3K",41.3K,23.4K,358.3K
Elon Musk,@elonmusk,2022-12-09 02:32:43,"Twitter is working on a software update that will show your true account status, so you know clearly if you’ve been shadowbanned, the reason why and how to appeal 25.6K
72.1K
514.6K",72.1K,25.6K,514.6K
Elon Musk,@elonmusk,2022-12-09 01:05:14,"The Twitter Files, Part Deux!!  Bari Weiss
@bariweiss
·
Dec 9, 2022
THREAD: THE TWITTER FILES PART TWO. 

TWITTER’S SECRET BLACKLISTS.
Show this thread",42.7K,12.9K,211.7K
SpaceX,@SpaceX,2022-12-08 22:38:13,Falcon 9's first stage has landed ,"6,431","2,214",52.4K
SpaceX,@SpaceX,2022-12-08 22:34:17,Stage separation ,"3,401",734,31.1K
SpaceX,@SpaceX,2022-12-08 22:28:28,"Liftoff! 0:16
753.3K views","4,352",954,39.6K
前澤友作@MZDAO,@yousuck2020,2022-12-08 22:17:44,"月旅行のクルーが決まりました！
Crew for Moon Trip Selected!!
#dearMoonCrew 
@dearmoonproject dearmoon.earth
Meet the dearMoon Crew!
Meet the crew joining Yusaku Maezawa on this lunar mission aboard SpaceX's Starship","7,731","1,631",34.9K
Elon Musk,@elonmusk,2022-12-02 19:17:52,"There are about 500M tweets per day & billions of impressions, so hate speech impressions are <0.1% of what’s seen on Twitter! 3,702
7,508
85.3K","7,508","3,702",85.3K
Elon Musk,@elonmusk,2022-12-02 18:53:08,"Hate speech impressions (# of times tweet was viewed) continue to decline, despite significant user growth!
@TwitterSafety
 will publish data weekly.

Freedom of speech doesn’t mean freedom of reach. Negativity should & will get less reach than positivity. ",15.5K,10.7K,124.5K
Elon Musk,@elonmusk,2022-12-02 16:41:04,"You know Twitter is being fair when extremists on far right and far left are simultaneously upset!

Twitter aims to serve center 80% of people, who wish to learn, laugh & engage in reasoned debate.  31.9K
46.7K
500.2K",46.7K,31.9K,500.2K
Elon Musk,@elonmusk,2022-11-28 16:51:44,"Greetings, I’m Musket, Elon Musket 6,290
6,893
150.5K","6,893","6,290",150.5K
Elon Musk,@elonmusk,2022-11-28 09:44:01,"The amount of pro psy ops on Twitter is ridiculous! At least with new Verified they will pay $8 for the privilege haha. 9,321
15.4K
181.1K",15.4K,"9,321",181.1K
Amazing Maps,@amazingmap,2022-11-24 21:36:22,All of US history has occurred within a single Pluto orbit ,10K,"1,406",67K
Elon Musk,@elonmusk,2022-11-22 07:34:10,"This will improve a lot as Twitter becomes fast to use outside of North America, Western Europe & Japan 3,237
4,905
82.4K","4,905","3,237",82.4K
Elon Musk,@elonmusk,2022-11-22 01:31:08,"The Tactics of Mistake 11.4K
10K
157.8K",10K,11.4K,157.8K
Elon Musk,@elonmusk,2022-11-22 01:28:00,"Twitter added 1.6M daily active users this past week, another all-time high ",34.3K,22.5K,376.8K
Elon Musk,@elonmusk,2022-11-18 04:20:14," 38.6K
55.3K
528.1K",55.3K,38.6K,528.1K
Elon Musk,@elonmusk,2022-11-18 04:12:21,"Let that sink in … 11.4K
12K
224.9K",12K,11.4K,224.9K
Elon Musk,@elonmusk,2022-11-18 04:07:05,"And … we just hit another all-time high in Twitter usage lol 46.1K
72.9K
705K",72.9K,46.1K,705K
Elon Musk,@elonmusk,2022-11-18 01:25:55,"How do you make a small fortune in social media?

Start out with a large one. 40.3K
37.4K
448.8K",37.4K,40.3K,448.8K
Elon Musk,@elonmusk,2022-11-17 15:26:13,"Twitter is like open-sourcing the news 35.6K
36.1K
393.2K",36.1K,35.6K,393.2K
Elon Musk,@elonmusk,2022-11-17 15:15:23,"SBF is ineffective altruism, but they thought he was saying he was in effective altruism. Easy misunderstanding. 2,702
3,794
58.9K","3,794","2,702",58.9K
Elon Musk,@elonmusk,2022-11-17 08:35:22,"Coverage of FTX meltdown is incomparably faster *and* better quality on Twitter than old-school media 18.6K
30.2K
309.2K",30.2K,18.6K,309.2K
Elon Musk,@elonmusk,2022-11-10 17:17:22,"I love when people complain about Twitter … on Twitter  80.2K
134.9K
1.3M",134.9K,80.2K,1.3M
Elon Musk,@elonmusk,2022-11-10 07:47:53,"Are you seeing far fewer bots/scams/spam? Y
50.9%
N
49.1%
2,151,461 votes
·
Final results",12.7K,32.6K,80.7K
Elon Musk,@elonmusk,2022-11-04 14:28:20,"Twitter has had a massive drop in revenue, due to activist groups pressuring advertisers, even though nothing has changed with content moderation and we did everything we could to appease the activists.

Extremely messed up! They’re trying to destroy free speech in America. Readers added context they thought people might want to know
Multiple advertisers have confirmed they are pausing spending while they see what direction Elon Musk takes with the platform. 
""The growing exodus of advertisers comes amid concerns Musk will scale back misinformation and security protections on the platform.""
theguardian.com/technology/202…
Do you find this helpful?
Rate it",128K,137K,684.4K
Elon Musk,@elonmusk,2022-11-04 05:10:27,"Tiny talk is talk so small it feels like it’s coming from your own mind 13.7K
11.4K
160K",11.4K,13.7K,160K
Elon Musk,@elonmusk,2022-11-04 04:45:15,"Why is small talk even legal!? 38.1K
46K
468K",46K,38.1K,468K
Elon Musk,@elonmusk,2022-11-03 08:35:20,"A neuron doesn’t realize it’s a neuron 35.3K
25.2K
351.2K",25.2K,35.3K,351.2K
SpaceX,@SpaceX,2022-11-03 05:59:25,Deployment of Eutelsat HOTBIRD 13G confirmed ,"4,108","1,675",39.9K
Elon Musk,@elonmusk,2022-11-02 20:09:41,"Advertisers should support: Freedom of speech
78.3%
Political “correctness”
21.7%
2,754,020 votes
·
Final results",35.1K,41.1K,173.6K
Elon Musk,@elonmusk,2022-11-02 18:42:40,"Twitter is simply the most interesting place on the Internet. That’s why you’re reading this tweet right now. 34.1K
48.3K
608.3K",48.3K,34.1K,608.3K
